DATE,DEXINUS
2023-05-23,82.84
2023-05-24,82.66
2023-05-25,82.76
2023-05-26,82.58
2023-05-29,.
2023-05-30,82.67
2023-05-31,82.68
2023-06-01,82.41
2023-06-02,82.35
2023-06-05,82.67
2023-06-06,82.61
2023-06-07,82.5
2023-06-08,82.57
2023-06-09,82.46
2023-06-12,82.43
2023-06-13,82.38
2023-06-14,82.1
2023-06-15,82.18
2023-06-16,81.89
2023-06-19,.
2023-06-20,82.11
2023-06-21,82.04
2023-06-22,81.93
2023-06-23,82.01
