,Date,Price,Open,High,Low,Volume,Chg
441,"Jul 22, 2021",74.450,74.438,74.530,74.304,4.59K,-0.05%
442,"Jul 21, 2021",74.486,74.527,74.640,74.493,1.00K,-0.06%
443,"Jul 20, 2021",74.530,74.967,74.982,74.535,4.71K,-0.43%
444,"Jul 19, 2021",74.851,74.702,75.031,74.691,4.36K,0.33%
445,"Jul 16, 2021",74.606,74.549,74.668,74.498,4.37K,0.09%
446,"Jul 15, 2021",74.540,74.454,74.575,74.434,2.27K,0.11%
447,"Jul 14, 2021",74.460,74.672,74.675,74.459,4.35K,-0.17%
448,"Jul 13, 2021",74.590,74.537,74.680,74.398,4.29K,0.08%
449,"Jul 12, 2021",74.530,74.552,74.673,74.402,4.52K,0.06%
450,"Jul 09, 2021",74.485,74.772,74.787,74.470,4.47K,-0.33%
451,"Jul 08, 2021",74.730,74.759,74.870,74.652,4.73K,-0.08%
452,"Jul 07, 2021",74.790,74.771,74.815,74.567,5.29K,0.28%
453,"Jul 06, 2021",74.582,74.328,74.625,74.236,4.97K,0.40%
454,"Jul 05, 2021",74.288,74.553,74.570,74.262,4.33K,-0.30%
455,"Jul 02, 2021",74.512,74.561,74.885,74.504,5.00K,-0.06%
456,"Jul 01, 2021",74.560,74.374,74.640,74.332,4.31K,0.27%
457,"Jun 30, 2021",74.360,74.215,74.471,74.205,2.16K,0.09%
458,"Jun 29, 2021",74.290,74.293,74.348,74.200,2.05K,0.03%
459,"Jun 28, 2021",74.270,74.183,74.317,74.161,1.87K,0.08%
460,"Jun 25, 2021",74.210,74.188,74.256,74.114,3.81K,0.04%
461,"Jun 24, 2021",74.180,74.223,74.274,74.111,4.46K,0.05%
462,"Jun 23, 2021",74.140,74.345,74.398,74.054,4.45K,-0.26%
463,"Jun 22, 2021",74.330,74.112,74.415,74.043,5.24K,0.27%
464,"Jun 21, 2021",74.130,74.094,74.338,74.053,5.28K,0.04%
465,"Jun 18, 2021",74.100,74.190,74.283,73.804,2.62K,-0.08%
466,"Jun 17, 2021",74.162,73.595,74.247,73.565,2.45K,1.22%
467,"Jun 16, 2021",73.270,73.355,73.394,73.260,2.05K,-0.11%
468,"Jun 15, 2021",73.350,73.228,73.378,73.151,1.99K,0.23%
469,"Jun 14, 2021",73.180,73.282,73.307,73.099,2.09K,-0.08%
470,"Jun 11, 2021",73.240,73.027,73.265,72.889,2.01K,0.23%
471,"Jun 10, 2021",73.070,72.965,73.134,72.932,2.03K,0.12%
472,"Jun 09, 2021",72.980,72.945,73.020,72.881,2.18K,0.04%
473,"Jun 08, 2021",72.950,72.796,72.978,72.763,2.14K,0.23%
474,"Jun 07, 2021",72.786,72.920,72.939,72.741,2.31K,-0.10%
